simulation_id,ID,averageCellCycleDuration_tumour,averageCellCycleDuration_stroma,chi_macrophageToCSF,chi_macrophageToCXCL12,chi_tumourCellToEGF,macrophagePhenotypeIncrementPerHour,distanceToBloodVessel,numberOfBloodVessels,halfMaximalExtravasationCsf1Conc,maximumProbOfExtravasationPerHour,tgfThresholdForPhenotypeSwitch,iterationNumber
AWS_ParameterSweep_24072021/203,203,24,32,1,3,3,0.01,17,35,0.2,0.075,0.05,2
AWS_ParameterSweep_24072021/204,204,24,32,1,3,3,0.01,17,35,0.2,0.075,0.05,3
AWS_ParameterSweep_24072021/205,205,24,32,1,3,3,0.01,17,35,0.2,0.075,0.05,4
AWS_ParameterSweep_24072021/206,206,24,32,1,3,3,0.01,17,35,0.2,0.075,0.05,5
AWS_ParameterSweep_24072021/207,207,24,32,1,3,3,0.01,17,35,0.2,0.075,0.05,6
AWS_ParameterSweep_24072021/208,208,24,32,1,3,3,0.01,17,35,0.2,0.075,0.05,7
AWS_ParameterSweep_24072021/209,209,24,32,1,3,3,0.01,17,35,0.2,0.075,0.05,8
AWS_ParameterSweep_24072021/210,210,24,32,1,3,3,0.01,17,35,0.2,0.075,0.05,9
AWS_ParameterSweep_24072021/211,211,24,32,1,3,3,0.01,17,35,0.2,0.075,0.5,0
AWS_ParameterSweep_24072021/212,212,24,32,1,3,3,0.01,17,35,0.2,0.075,0.5,1
AWS_ParameterSweep_24072021/213,213,24,32,1,3,3,0.01,17,35,0.2,0.075,0.5,2
AWS_ParameterSweep_24072021/214,214,24,32,1,3,3,0.01,17,35,0.2,0.075,0.5,3
AWS_ParameterSweep_24072021/215,215,24,32,1,3,3,0.01,17,35,0.2,0.075,0.5,4
AWS_ParameterSweep_24072021/216,216,24,32,1,3,3,0.01,17,35,0.2,0.075,0.5,5
AWS_ParameterSweep_24072021/217,217,24,32,1,3,3,0.01,17,35,0.2,0.075,0.5,6
AWS_ParameterSweep_24072021/218,218,24,32,1,3,3,0.01,17,35,0.2,0.075,0.5,7
AWS_ParameterSweep_24072021/219,219,24,32,1,3,3,0.01,17,35,0.2,0.075,0.5,8
AWS_ParameterSweep_24072021/220,220,24,32,1,3,3,0.01,17,35,0.2,0.075,0.5,9
AWS_ParameterSweep_24072021/221,221,24,32,1,3,3,0.01,17,35,0.3,0.075,0.05,0
AWS_ParameterSweep_24072021/222,222,24,32,1,3,3,0.01,17,35,0.3,0.075,0.05,1
AWS_ParameterSweep_24072021/223,223,24,32,1,3,3,0.01,17,35,0.3,0.075,0.05,2
AWS_ParameterSweep_24072021/224,224,24,32,1,3,3,0.01,17,35,0.3,0.075,0.05,3
AWS_ParameterSweep_24072021/225,225,24,32,1,3,3,0.01,17,35,0.3,0.075,0.05,4
AWS_ParameterSweep_24072021/226,226,24,32,1,3,3,0.01,17,35,0.3,0.075,0.05,5
AWS_ParameterSweep_24072021/227,227,24,32,1,3,3,0.01,17,35,0.3,0.075,0.05,6
AWS_ParameterSweep_24072021/228,228,24,32,1,3,3,0.01,17,35,0.3,0.075,0.05,7
AWS_ParameterSweep_24072021/229,229,24,32,1,3,3,0.01,17,35,0.3,0.075,0.05,8
AWS_ParameterSweep_24072021/230,230,24,32,1,3,3,0.01,17,35,0.3,0.075,0.05,9
AWS_ParameterSweep_24072021/231,231,24,32,1,3,3,0.01,17,35,0.3,0.075,0.5,0
AWS_ParameterSweep_24072021/232,232,24,32,1,3,3,0.01,17,35,0.3,0.075,0.5,1
AWS_ParameterSweep_24072021/233,233,24,32,1,3,3,0.01,17,35,0.3,0.075,0.5,2
AWS_ParameterSweep_24072021/234,234,24,32,1,3,3,0.01,17,35,0.3,0.075,0.5,3
AWS_ParameterSweep_24072021/235,235,24,32,1,3,3,0.01,17,35,0.3,0.075,0.5,4
AWS_ParameterSweep_24072021/236,236,24,32,1,3,3,0.01,17,35,0.3,0.075,0.5,5
AWS_ParameterSweep_24072021/237,237,24,32,1,3,3,0.01,17,35,0.3,0.075,0.5,6
AWS_ParameterSweep_24072021/238,238,24,32,1,3,3,0.01,17,35,0.3,0.075,0.5,7
AWS_ParameterSweep_24072021/239,239,24,32,1,3,3,0.01,17,35,0.3,0.075,0.5,8
AWS_ParameterSweep_24072021/240,240,24,32,1,3,3,0.01,17,35,0.3,0.075,0.5,9
AWS_ParameterSweep_24072021/241,241,24,32,1,3,3,0.01,17,35,0.4,0.075,0.05,0
AWS_ParameterSweep_24072021/242,242,24,32,1,3,3,0.01,17,35,0.4,0.075,0.05,1
AWS_ParameterSweep_24072021/243,243,24,32,1,3,3,0.01,17,35,0.4,0.075,0.05,2
AWS_ParameterSweep_24072021/244,244,24,32,1,3,3,0.01,17,35,0.4,0.075,0.05,3
AWS_ParameterSweep_24072021/245,245,24,32,1,3,3,0.01,17,35,0.4,0.075,0.05,4
AWS_ParameterSweep_24072021/246,246,24,32,1,3,3,0.01,17,35,0.4,0.075,0.05,5
AWS_ParameterSweep_24072021/247,247,24,32,1,3,3,0.01,17,35,0.4,0.075,0.05,6
AWS_ParameterSweep_24072021/248,248,24,32,1,3,3,0.01,17,35,0.4,0.075,0.05,7
